Tm,PF_Defense,TotalYds_Defense,Ply_Defense,Y/Play_Defense,TO_Defense,FL_Defense,1stD_Defense,Cmp_Defense,PassAtt_Defense,PassYds_Defense,PassTD_Defense,Int_Defense,NY/A_Defense,1stDpass_Defense,RushAtt_Defense,RushYds_Defense,RushTD_Defense,Y/Arun_Defense,1stDrun_Defense,Pen_Defense,PenYds_Defense,1stPy_Defense,Sc%_Defense,TO%_Defense,ExpectedPoints_Defense
Baltimore Ravens,201.0,4225.0,936.0,4.5,40.0,12.0,236.0,279.0,509.0,3011.0,16.0,28.0,5.3,151.0,367.0,1214.0,5.0,3.3,59.0,79.0,580.0,26.0,19.5,20.0,217.06
New England Patriots,237.0,4710.0,950.0,5.0,35.0,13.0,264.0,294.0,518.0,3203.0,10.0,22.0,5.7,164.0,388.0,1507.0,11.0,3.9,67.0,102.0,918.0,33.0,23.6,18.7,83.85
Chicago Bears,255.0,4706.0,1023.0,4.6,44.0,20.0,258.0,328.0,581.0,3116.0,18.0,24.0,5.0,159.0,402.0,1590.0,7.0,4.0,77.0,132.0,1084.0,22.0,20.6,19.6,193.59
Jacksonville Jaguars,274.0,4538.0,978.0,4.6,24.0,4.0,259.0,294.0,523.0,3078.0,12.0,20.0,5.5,143.0,420.0,1460.0,14.0,3.5,94.0,80.0,684.0,22.0,23.0,12.8,87.75
Miami Dolphins,283.0,4625.0,1005.0,4.6,27.0,19.0,267.0,279.0,497.0,3007.0,22.0,8.0,5.5,166.0,461.0,1618.0,7.0,3.5,72.0,91.0,724.0,29.0,27.1,12.8,76.02
New York Jets,295.0,5306.0,1020.0,5.2,25.0,9.0,312.0,316.0,532.0,3222.0,19.0,16.0,5.7,181.0,453.0,2084.0,14.0,4.6,111.0,105.0,843.0,20.0,28.0,13.7,-18.88
San Diego Chargers,303.0,4825.0,985.0,4.9,28.0,12.0,285.0,307.0,538.0,3212.0,19.0,16.0,5.4,178.0,386.0,1613.0,13.0,4.2,87.0,87.0,751.0,20.0,28.8,13.6,53.3
Denver Broncos,305.0,5220.0,1020.0,5.1,30.0,13.0,291.0,327.0,538.0,3407.0,13.0,17.0,5.9,183.0,446.0,1813.0,13.0,4.1,97.0,97.0,785.0,11.0,32.6,14.7,51.32
Carolina Panthers,305.0,4737.0,990.0,4.8,22.0,8.0,267.0,291.0,500.0,3000.0,22.0,14.0,5.5,149.0,449.0,1737.0,10.0,3.9,96.0,89.0,735.0,22.0,28.7,10.8,46.96
Buffalo Bills,311.0,5273.0,1029.0,5.1,24.0,11.0,298.0,324.0,513.0,3019.0,18.0,13.0,5.5,168.0,476.0,2254.0,14.0,4.7,117.0,90.0,709.0,13.0,28.9,11.8,23.82
Pittsburgh Steelers,315.0,4805.0,976.0,4.9,29.0,9.0,269.0,319.0,529.0,3393.0,21.0,20.0,6.0,176.0,408.0,1412.0,9.0,3.5,72.0,104.0,862.0,21.0,27.7,15.4,69.71
Kansas City Chiefs,315.0,5262.0,999.0,5.3,30.0,15.0,298.0,314.0,506.0,3334.0,18.0,15.0,6.2,171.0,461.0,1928.0,14.0,4.2,109.0,85.0,709.0,18.0,31.9,14.8,11.63
New Orleans Saints,322.0,4917.0,930.0,5.3,19.0,8.0,262.0,267.0,474.0,2854.0,26.0,11.0,5.6,148.0,418.0,2063.0,10.0,4.9,96.0,89.0,674.0,18.0,26.5,9.0,-9.4
