Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Atlanta Falcons,16,28,241,0,8.6,64,1362,1,21.3
2,New Orleans Saints,16,26,310,0,11.9,66,1592,0,24.1
3,New England Patriots,16,25,179,0,7.2,81,1826,1,22.5
4,Miami Dolphins,16,43,454,1,10.6,53,1303,2,24.6
5,Pittsburgh Steelers,16,32,294,0,9.2,77,1540,1,20.0
6,Tampa Bay Buccaneers,16,32,232,0,7.3,75,1554,1,20.7
7,Denver Broncos,16,50,550,0,11.0,51,1259,1,24.7
8,Detroit Lions,16,54,633,1,11.7,72,1487,1,20.7
9,Tennessee Titans,16,35,214,0,6.1,56,1389,1,24.8
10,Chicago Bears,16,39,303,1,7.8,59,1404,0,23.8
11,San Francisco 49ers,16,54,483,0,8.9,67,1485,1,22.2
12,Cleveland Browns,16,40,285,0,7.1,54,959,0,17.8
13,San Diego Chargers,16,28,528,1,18.9,84,1880,3,22.4
14,Baltimore Ravens,16,34,275,0,8.1,38,987,0,26.0
15,Indianapolis Colts,16,28,299,1,10.7,73,1880,1,25.8
16,Dallas Cowboys,16,33,205,0,6.2,56,1363,1,24.3
17,Philadelphia Eagles,16,34,309,0,9.1,69,1502,0,21.8
18,New York Giants,16,36,535,2,14.9,77,1515,0,19.7
19,Buffalo Bills,16,32,299,0,9.3,57,1238,0,21.7
20,Houston Texans,16,29,233,0,8.0,72,1741,1,24.2
21,Green Bay Packers,16,31,341,1,11.0,76,1658,0,21.8
22,Minnesota Vikings,16,32,241,1,7.5,61,1455,1,23.9
23,Cincinnati Bengals,16,26,124,0,4.8,64,1504,2,23.5
24,Seattle Seahawks,16,35,327,1,9.3,50,1099,0,22.0
25,Kansas City Chiefs,16,42,361,0,8.6,66,1336,1,20.2
26,Washington Redskins,16,45,568,1,12.6,61,1160,0,19.0
27,Carolina Panthers,16,54,488,1,9.0,45,1064,0,23.6
28,St. Louis Rams,16,45,435,1,9.7,65,1538,1,23.7
29,Jacksonville Jaguars,16,19,123,0,6.5,59,1266,1,21.5
30,New York Jets,16,27,299,0,11.1,73,1428,0,19.6
31,Oakland Raiders,16,46,400,0,8.7,61,1412,1,23.1
32,Arizona Cardinals,16,35,458,0,13.1,51,1234,0,24.2
,Avg Team,,35.9,344.6,0.4,9.6,63.5,1419.4,0.7,22.3
,League Total,,1149,11026,13,9.6,2033,45420,23,22.3
,Avg Tm/G,,2.2,21.5,0.0,9.6,4.0,88.7,0.0,22.3
