Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Atlanta Falcons,16,23,221,0,9.6,40,905,0,22.6
2,Tampa Bay Buccaneers,16,24,128,0,5.3,25,583,0,23.3
3,Pittsburgh Steelers,16,28,269,0,9.6,29,717,0,24.7
4,New Orleans Saints,16,29,237,0,8.2,40,898,0,22.5
5,Dallas Cowboys,16,22,192,0,8.7,33,746,0,22.6
6,Philadelphia Eagles,16,25,202,1,8.1,38,712,0,18.7
7,Indianapolis Colts,16,17,139,0,8.2,39,825,0,21.2
8,Detroit Lions,16,35,210,0,6.0,23,494,0,21.5
9,Washington Redskins,16,27,222,0,8.2,25,534,1,21.4
10,Denver Broncos,16,40,271,0,6.8,26,526,1,20.2
11,Green Bay Packers,16,16,151,0,9.4,41,1080,1,26.3
12,Baltimore Ravens,16,33,375,1,11.4,27,559,0,20.7
13,San Diego Chargers,16,33,282,1,8.5,21,504,0,24.0
14,San Francisco 49ers,16,40,345,0,8.6,45,809,0,18.0
15,Arizona Cardinals,16,33,310,0,9.4,29,671,1,23.1
16,Tennessee Titans,16,36,347,2,9.6,21,462,0,22.0
17,Cleveland Browns,16,45,376,0,8.4,24,510,0,21.3
18,Seattle Seahawks,16,28,236,0,8.4,32,654,0,20.4
19,Carolina Panthers,16,40,383,1,9.6,23,417,0,18.1
20,Buffalo Bills,16,39,262,0,6.7,46,999,0,21.7
21,Oakland Raiders,16,33,405,1,12.3,45,896,0,19.9
22,Minnesota Vikings,16,26,209,0,8.0,38,980,1,25.8
23,Chicago Bears,16,22,282,1,12.8,36,777,0,21.6
24,Houston Texans,16,48,477,1,9.9,48,1135,1,23.6
25,New York Jets,16,35,319,0,9.1,29,665,1,22.9
26,Miami Dolphins,16,37,300,0,8.1,31,632,0,20.4
27,New England Patriots,16,27,134,0,5.0,40,771,0,19.3
28,New York Giants,16,37,302,0,8.2,32,730,0,22.8
29,Jacksonville Jaguars,16,31,389,1,12.5,13,273,0,21.0
30,Cincinnati Bengals,16,38,369,0,9.7,40,891,0,22.3
31,Kansas City Chiefs,16,30,157,0,5.2,35,843,0,24.1
32,Los Angeles Rams,16,35,152,0,4.3,22,430,0,19.5
,Avg Team,,31.6,270.4,0.3,8.6,32.4,707.1,0.2,21.8
,League Total,,1012,8653,10,8.6,1036,22628,7,21.8
,Avg Tm/G,,2.0,16.9,0.0,8.6,2.0,44.2,0.0,21.8
