Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Green Bay Packers,16,12,51,1,1,1,4,,70,,1,68,69,24,28,,560,35.0
2,New Orleans Saints,16,16,46,1,,2,1,,66,2,3,63,63,28,34,,547,34.2
3,New England Patriots,16,18,39,1,,1,2,,61,2,2,59,59,28,33,,513,32.1
4,Detroit Lions,16,9,41,,,2,5,,57,3,3,54,54,24,29,1,476,29.6
5,Carolina Panthers,16,26,21,,1,,,,48,2,3,44,45,22,28,2,406,25.4
6,San Diego Chargers,16,16,27,,1,1,1,,46,1,1,44,45,28,35,,406,25.4
7,Atlanta Falcons,16,14,29,,,1,2,,46,,1,45,45,27,29,,402,25.1
8,Philadelphia Eagles,16,20,22,,,3,1,,46,,0,46,46,24,27,1,396,24.8
9,New York Giants,16,17,29,,,1,,,47,4,4,43,43,19,24,2,394,24.6
10,Houston Texans,16,18,20,1,,1,1,,41,,1,39,40,32,38,,381,23.8
11,San Francisco 49ers,16,14,18,1,1,,1,,35,1,1,34,34,44,52,1,380,23.8
12,Baltimore Ravens,16,15,21,1,,3,1,,41,1,1,40,40,30,39,,378,23.6
13,New York Jets,16,14,26,,1,1,2,1,45,,1,44,44,19,25,3,377,23.6
14,Buffalo Bills,16,12,24,1,,2,4,,43,1,2,41,41,23,31,1,372,23.3
15,Dallas Cowboys,16,5,33,,,,1,,39,,0,39,39,32,37,,369,23.1
16,Oakland Raiders,16,16,20,,1,1,,,38,,2,36,36,31,35,1,359,22.4
17,Chicago Bears,16,10,18,2,1,3,4,,38,1,1,37,37,28,32,1,353,22.1
18,Cincinnati Bengals,16,10,21,1,,2,1,,35,,1,33,34,33,38,1,344,21.5
19,Minnesota Vikings,16,18,20,,1,,,,39,,0,38,39,22,28,1,340,21.3
20,Miami Dolphins,16,11,20,,,,1,1,33,,1,32,32,33,39,,329,20.6
21,Tennessee Titans,16,8,22,1,1,,1,1,34,,0,34,34,29,32,,325,20.3
22,Pittsburgh Steelers,16,13,21,1,,1,,,36,,0,36,36,23,31,2,325,20.3
23,Seattle Seahawks,16,15,15,,,,4,1,35,,1,34,34,25,30,1,321,20.1
24,Arizona Cardinals,16,12,21,4,,,,,37,,2,33,33,19,24,,312,19.5
25,Denver Broncos,16,11,20,2,,,3,,36,3,6,30,30,19,25,,309,19.3
26,Washington Redskins,16,8,19,,,,1,,28,1,2,25,26,31,41,,288,18.0
27,Tampa Bay Buccaneers,16,9,17,,,1,3,,30,2,7,23,23,26,28,1,287,17.9
28,Jacksonville Jaguars,16,9,12,,,3,,1,25,,1,24,24,23,25,,243,15.2
29,Indianapolis Colts,16,8,14,,,1,2,,25,,1,24,24,23,27,,243,15.2
30,Cleveland Browns,16,4,16,1,,,,,21,,1,20,20,24,29,,218,13.6
31,Kansas City Chiefs,16,5,13,,,,2,,20,,0,20,20,24,30,,212,13.3
32,St. Louis Rams,16,7,9,1,,,1,,18,,0,18,18,21,28,2,193,12.1
,Avg Team,,12.5,23.3,0.6,0.3,1.0,1.5,0.2,,0.8,1.6,37.5,37.7,26.2,31.6,0.7,354.9,22.2
,League Total,,400,745,20,9,31,49,5,1259,24,50,1200,1207,838,1011,21,11358,
,Avg Tm/G,,0.78,1.46,0.04,0.02,0.06,0.10,0.01,2.46,0.05,0.10,2.34,2.36,1.64,1.97,0.04,22.2,
