Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Carolina Panthers,16,19,35,,,1,4,,59,,0,56,59,30,36,,500,31.3
2,Arizona Cardinals,16,16,35,,1,2,4,,58,,0,53,58,28,31,2,489,30.6
3,New England Patriots,16,14,36,,,2,,,52,,0,52,52,33,36,1,465,29.1
4,Pittsburgh Steelers,16,16,26,1,,,2,,45,8,11,32,34,35,42,,423,26.4
5,Seattle Seahawks,16,10,34,1,1,3,,,49,1,5,40,44,29,31,,423,26.4
6,New York Giants,16,5,36,1,1,2,2,,47,1,2,44,45,30,32,1,420,26.3
7,Cincinnati Bengals,16,18,31,,,,1,,50,1,1,48,49,23,28,,419,26.2
8,New Orleans Saints,16,16,32,1,,1,,1,51,1,4,44,46,18,26,,406,25.5
9,Kansas City Chiefs,16,19,20,,,2,4,,45,2,4,39,41,30,37,1,405,25.3
10,Washington Redskins,16,9,30,,2,1,1,1,44,2,3,40,41,26,30,1,388,24.3
11,New York Jets,16,11,33,,,,,,44,,0,42,43,27,33,,387,24.2
12,Buffalo Bills,16,19,23,,,1,2,,45,2,5,34,40,23,27,1,379,23.7
13,Philadelphia Eagles,16,15,23,2,,1,3,1,45,,0,42,44,21,26,1,377,23.6
14,Jacksonville Jaguars,16,5,35,1,,2,1,,44,1,5,32,39,26,30,,376,23.5
15,Green Bay Packers,16,8,31,,,1,2,,42,4,6,36,36,24,28,,368,23.0
16,Minnesota Vikings,16,18,14,1,2,1,2,,38,1,1,33,37,34,39,,365,22.8
17,Oakland Raiders,16,7,34,,,,1,,42,1,3,38,39,21,26,2,359,22.4
18,Detroit Lions,16,7,33,,,1,1,,42,,3,36,39,22,24,2,358,22.4
19,Denver Broncos,16,13,19,1,,1,4,,38,,1,35,36,30,35,1,355,22.2
20,Tampa Bay Buccaneers,16,12,22,,,2,1,,37,1,3,31,34,29,40,,342,21.4
21,Atlanta Falcons,16,13,21,,,3,1,,38,1,3,34,34,25,31,,339,21.2
22,Houston Texans,16,7,29,,,1,2,,39,2,3,32,36,23,27,,339,21.2
23,Chicago Bears,16,13,21,,,,,,34,2,5,28,29,33,39,,335,20.9
24,Indianapolis Colts,16,6,26,,,1,4,,37,1,2,32,35,25,27,1,333,20.8
25,Baltimore Ravens,16,8,21,1,,1,1,1,33,1,4,29,29,33,40,,328,20.5
26,San Diego Chargers,16,4,30,,,,1,,35,2,3,28,32,26,32,,320,20.0
27,Miami Dolphins,16,11,24,1,,,3,,39,2,3,33,36,13,16,,310,19.4
28,Tennessee Titans,16,10,25,,,1,1,,37,3,5,29,31,14,16,,299,18.7
29,St. Louis Rams,16,16,11,1,,2,1,,31,1,2,27,29,21,31,1,280,17.5
30,Cleveland Browns,16,5,20,1,,,2,,28,2,4,22,24,28,32,,278,17.4
31,Dallas Cowboys,16,8,16,,,,1,1,26,1,1,25,25,30,32,1,275,17.2
32,San Francisco 49ers,16,7,16,,,,1,,24,1,2,20,21,24,27,,238,14.9
,Avg Team,,11.4,26.3,0.4,0.2,1.0,1.7,0.2,,1.4,2.9,35.8,38.0,26.1,30.8,0.5,364.9,22.8
,League Total,,365,842,13,7,33,53,5,1318,45,94,1146,1217,834,987,16,11678,
,Avg Tm/G,,0.71,1.64,0.03,0.01,0.06,0.10,0.01,2.57,0.09,0.18,2.24,2.38,1.63,1.93,0.03,22.8,
