Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,San Francisco 49ers,16,492,2491,17,50,5.1,155.7,26,54.58
2,Washington Redskins,16,519,2709,22,76,5.2,169.3,26,49.66
3,New England Patriots,16,523,2184,25,47,4.2,136.5,14,23.03
4,Carolina Panthers,16,462,2088,21,72,4.5,130.5,22,20.16
5,Seattle Seahawks,16,536,2579,16,77,4.8,161.2,16,14.14
6,Minnesota Vikings,16,486,2634,16,82,5.4,164.6,21,12.36
7,Indianapolis Colts,16,440,1671,11,26,3.8,104.4,21,5.52
8,New York Giants,16,409,1862,18,52,4.6,116.4,13,3.39
9,Tampa Bay Buccaneers,16,416,1837,13,70,4.4,114.8,16,-4.23
10,Cincinnati Bengals,16,430,1745,11,48,4.1,109.1,19,-6.56
11,New Orleans Saints,16,370,1577,10,56,4.3,98.6,13,-7.95
12,Buffalo Bills,16,442,2217,12,62,5,138.6,23,-11.09
13,Kansas City Chiefs,16,500,2395,9,91,4.8,149.7,26,-18.14
14,New York Jets,16,494,1896,12,61,3.8,118.5,32,-18.59
15,Cleveland Browns,16,396,1593,12,35,4,99.6,22,-20.42
16,Baltimore Ravens,16,444,1901,17,78,4.3,118.8,14,-26.13
17,Chicago Bears,16,470,1970,11,46,4.2,123.1,20,-28.41
18,Tennessee Titans,16,378,1687,10,94,4.5,105.4,21,-28.56
19,Green Bay Packers,16,433,1702,9,41,3.9,106.4,16,-28.93
20,Houston Texans,16,508,2123,19,81,4.2,132.7,12,-29.02
21,Jacksonville Jaguars,16,358,1369,5,59,3.8,85.6,20,-30.19
22,Detroit Lions,16,391,1613,17,67,4.1,100.8,24,-34.12
23,Miami Dolphins,16,440,1802,15,65,4.1,112.6,25,-38.29
24,St. Louis Rams,16,410,1714,5,53,4.2,107.1,24,-38.58
25,Dallas Cowboys,16,355,1265,8,48,3.6,79.1,20,-45.66
26,San Diego Chargers,16,411,1461,4,52,3.6,91.3,24,-48.67
27,Philadelphia Eagles,16,413,1874,10,65,4.5,117.1,37,-50.24
28,Atlanta Falcons,16,378,1397,12,43,3.7,87.3,9,-50.54
29,Pittsburgh Steelers,16,412,1537,8,34,3.7,96.1,33,-58.31
30,Denver Broncos,16,481,1832,12,31,3.8,114.5,22,-59.03
31,Arizona Cardinals,16,352,1204,10,52,3.4,75.3,25,-68.3
32,Oakland Raiders,16,376,1420,4,64,3.8,88.8,22,-69.74
,Avg Team,,435.2,1854.7,12.5,59,4.3,115.9,21.2,-19.9
,League Total,,13925,59349,401,94,4.3,115.9,678,
,Avg Tm/G,,27.2,115.9,0.8,,4.3,115.9,1.3,
