Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Kansas City Chiefs,16,436,2044,19,52,4.7,127.8,15,30.2
2,Minnesota Vikings,16,474,2211,18,80,4.7,138.2,21,20.45
3,Buffalo Bills,16,509,2432,19,60,4.8,152,28,19.54
4,Carolina Panthers,16,526,2282,19,47,4.3,142.6,12,1.76
5,Dallas Cowboys,16,408,1890,8,50,4.6,118.1,18,-8.73
6,Pittsburgh Steelers,16,388,1724,16,55,4.4,107.8,16,-18.38
7,Tampa Bay Buccaneers,16,455,2162,12,84,4.8,135.1,26,-18.91
8,Miami Dolphins,16,344,1496,11,85,4.3,93.5,23,-19.49
9,New Orleans Saints,16,397,1491,16,70,3.8,93.2,17,-19.87
10,Seattle Seahawks,16,500,2268,10,69,4.5,141.8,17,-19.96
11,Chicago Bears,16,468,1854,13,27,4,115.9,20,-20.72
12,San Francisco 49ers,16,390,1544,7,47,4,96.5,21,-23.53
13,Green Bay Packers,16,436,1850,8,65,4.2,115.6,24,-24.48
14,New York Jets,16,448,1868,11,58,4.2,116.8,17,-27.8
15,St. Louis Rams,16,429,1956,16,71,4.6,122.3,22,-30.95
16,New England Patriots,16,383,1404,14,38,3.7,87.8,14,-32.37
17,Detroit Lions,16,354,1335,7,36,3.8,83.4,17,-33.64
18,Arizona Cardinals,16,452,1917,16,63,4.2,119.8,23,-34.46
19,New York Giants,16,403,1609,5,39,4,100.6,23,-35.8
20,Oakland Raiders,16,370,1457,7,54,3.9,91.1,27,-39.49
21,Philadelphia Eagles,16,442,1743,15,63,3.9,108.9,25,-39.53
22,Cleveland Browns,16,380,1529,5,54,4,95.6,28,-43.3
23,Baltimore Ravens,16,383,1478,8,44,3.9,92.4,13,-46.34
24,Tennessee Titans,16,371,1485,10,87,4,92.8,25,-49.87
25,Cincinnati Bengals,16,467,1805,18,38,3.9,112.8,17,-50.08
26,Jacksonville Jaguars,16,354,1473,5,45,4.2,92.1,25,-51.9
27,Washington Redskins,16,429,1566,9,48,3.7,97.9,26,-56.28
28,Houston Texans,16,472,1731,7,41,3.7,108.2,22,-57.39
29,Indianapolis Colts,16,396,1438,6,37,3.6,89.9,19,-57.39
30,Denver Broncos,16,411,1718,13,72,4.2,107.4,16,-58.86
31,Atlanta Falcons,16,420,1606,13,46,3.8,100.4,26,-62.96
32,San Diego Chargers,16,393,1358,4,53,3.5,84.9,20,-66.3
,Avg Team,,421.5,1741.4,11.4,56,4.1,108.8,20.7,-30.5
,League Total,,13488,55724,365,87,4.1,108.8,663,
,Avg Tm/G,,26.3,108.8,0.7,,4.1,108.8,1.3,
