Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Buffalo Bills,16,492,2630,29,75,5.3,164.4,15,59.91
2,Dallas Cowboys,16,499,2396,24,60,4.8,149.8,22,39.96
3,Atlanta Falcons,16,421,1928,20,75,4.6,120.5,8,20.78
4,New Orleans Saints,16,404,1742,17,75,4.3,108.9,17,15.68
5,Cincinnati Bengals,16,446,1769,17,74,4,110.6,20,1.28
6,Green Bay Packers,16,374,1701,11,61,4.5,106.3,21,-3.65
7,Tennessee Titans,16,476,2187,16,75,4.6,136.7,16,-4.29
8,Indianapolis Colts,16,409,1628,13,33,4,101.8,16,-4.97
9,Washington Redskins,16,379,1696,17,66,4.5,106,19,-6.75
10,New York Jets,16,418,1802,10,35,4.3,112.6,24,-8.5
11,Baltimore Ravens,16,367,1463,10,41,4,91.4,19,-11.25
12,Arizona Cardinals,16,399,1732,20,58,4.3,108.3,27,-14.69
13,Cleveland Browns,16,350,1712,13,85,4.9,107,26,-15.44
14,San Francisco 49ers,16,458,2019,15,47,4.4,126.2,29,-16.25
15,Pittsburgh Steelers,16,409,1760,13,60,4.3,110,15,-16.84
16,Detroit Lions,16,350,1310,9,42,3.7,81.9,9,-17.32
17,Philadelphia Eagles,16,438,1813,16,30,4.1,113.3,24,-17.58
18,Chicago Bears,16,380,1735,10,69,4.6,108.4,26,-19.89
19,Kansas City Chiefs,16,412,1748,15,70,4.2,109.3,18,-24.46
20,Carolina Panthers,16,453,1814,16,47,4,113.4,13,-24.98
21,Miami Dolphins,16,406,1824,14,62,4.5,114,26,-29.06
22,San Diego Chargers,16,398,1510,10,48,3.8,94.4,22,-32.24
23,Seattle Seahawks,16,403,1591,13,75,3.9,99.4,22,-33.05
24,New England Patriots,16,482,1872,19,44,3.9,117,27,-36.1
25,Oakland Raiders,16,434,1922,17,75,4.4,120.1,17,-38.09
26,Houston Texans,16,456,1859,8,45,4.1,116.2,20,-39.31
27,Jacksonville Jaguars,16,392,1631,8,57,4.2,101.9,23,-44.63
28,Los Angeles Rams,16,375,1252,9,30,3.3,78.3,24,-51.81
29,Denver Broncos,16,410,1484,11,64,3.6,92.8,24,-57.61
30,New York Giants,16,398,1412,6,25,3.5,88.3,22,-60.21
31,Tampa Bay Buccaneers,16,453,1616,8,45,3.6,101,19,-68.53
32,Minnesota Vikings,16,380,1205,9,36,3.2,75.3,20,-78.99
,Avg Team,,416.3,1742.6,13.8,56,4.2,108.9,20.3,-20
,League Total,,13321,55763,443,85,4.2,108.9,650,
,Avg Tm/G,,26,108.9,0.9,,4.2,108.9,1.3,
