Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,Oakland Raiders,16,418,619,67.5,4475,26,4.2,10,1.6,75,7.6,7.7,11.2,279.7,97.2,36,214,6.8,6.9,5.5,1,1,130.66
2,St. Louis Rams,16,408,635,64.3,4154,24,3.8,27,4.3,58,7.1,5.9,11.0,259.6,79.9,46,326,6.1,5.0,6.8,2,2,-14.81
3,Seattle Seahawks,16,361,587,61.5,4078,19,3.2,16,2.7,83,7.3,6.7,11.8,254.9,83.0,33,179,6.6,6.0,5.3,1,3,80.49
4,Indianapolis Colts,16,392,591,66.3,4055,27,4.6,19,3.2,69,7.1,6.6,10.7,253.4,88.8,23,145,6.6,6.1,3.7,4,5,65.73
5,Buffalo Bills,16,377,612,61.6,3995,24,3.9,15,2.5,73,7.1,6.8,11.6,249.7,86.0,54,369,6.0,5.7,8.1,2,4,68.93
6,New York Giants,16,338,549,61.6,3951,19,3.5,14,2.6,82,7.5,7.0,12.1,246.9,85.4,24,152,6.9,6.5,4.2,5,5,122.09
7,Pittsburgh Steelers,16,350,551,63.5,3832,26,4.7,22,4.0,72,7.3,6.5,11.5,239.5,84.6,34,204,6.6,5.7,5.8,4,4,70.06
8,Denver Broncos,16,359,554,64.8,3824,21,3.8,20,3.6,82,7.5,6.6,11.5,239.0,84.8,46,315,6.4,5.6,7.7,1,1,52.37
9,Minnesota Vikings,16,337,558,60.4,3685,19,3.4,23,4.1,61,7.1,5.9,11.7,230.3,76.1,49,266,6.1,5.0,8.1,3,4,11.14
10,Green Bay Packers,16,361,580,62.2,3627,29,5.0,16,2.8,85,6.6,6.4,10.6,226.7,86.6,27,196,6.0,5.7,4.4,3,3,43.52
11,Kansas City Chiefs,16,292,477,61.2,3622,27,5.7,13,2.7,99,7.9,7.8,12.9,226.4,93.5,26,141,7.2,7.1,5.2,4,4,113.53
12,New England Patriots,16,374,605,61.8,3577,28,4.6,14,2.3,49,6.2,6.1,10.1,223.6,85.3,31,190,5.6,5.5,4.9,2,3,19.75
13,Cincinnati Bengals,16,350,591,59.2,3476,17,2.9,22,3.7,72,6.3,5.2,10.7,217.3,71.8,37,256,5.5,4.5,5.9,1,1,-51.77
14,San Francisco 49ers,16,354,571,62.0,3457,23,4.0,10,1.8,76,6.3,6.3,10.1,216.1,86.0,22,119,5.8,5.8,3.7,3,5,79.36
15,Tampa Bay Buccaneers,16,348,567,61.4,3445,23,4.1,10,1.8,76,6.5,6.5,10.5,215.3,86.3,41,220,5.7,5.7,6.7,1,3,49.78
16,New Orleans Saints,16,291,538,54.1,3441,27,5.0,15,2.8,64,6.8,6.6,12.7,215.1,80.8,37,244,6.0,5.7,6.4,3,3,12.17
17,New York Jets,16,329,485,67.8,3418,25,5.2,10,2.1,47,7.5,7.6,11.0,213.6,98.3,32,201,6.6,6.7,6.2,2,2,88.61
18,Cleveland Browns,16,338,552,61.2,3412,27,4.9,22,4.0,78,6.6,5.8,10.8,213.3,80.5,35,253,5.8,5.0,6.0,4,5,44.39
19,Philadelphia Eagles,16,318,548,58.0,3384,27,4.9,11,2.0,59,6.6,6.7,11.3,211.5,85.9,36,222,5.8,5.9,6.2,0,1,2.94
20,Tennessee Titans,16,306,500,61.2,3320,22,4.4,15,3.0,55,6.9,6.4,11.2,207.5,83.9,21,121,6.4,5.9,4.0,4,4,88.05
21,Washington Redskins,16,300,559,53.7,3254,24,4.3,20,3.6,62,6.3,5.6,11.7,203.4,72.5,38,269,5.5,4.7,6.4,,,-30.27
22,San Diego Chargers,16,324,538,60.2,3188,17,3.2,16,3.0,52,6.3,5.6,10.4,199.3,76.5,24,180,5.7,5.0,4.3,2,4,13.51
23,Atlanta Falcons,16,268,479,55.9,3167,18,3.8,12,2.5,74,7.1,6.7,12.6,197.9,80.2,36,217,6.1,5.8,7.0,3,4,45.66
24,Chicago Bears,16,310,543,57.1,3051,22,4.1,18,3.3,76,6.1,5.4,10.7,190.7,74.8,44,265,5.2,4.6,7.5,2,2,-62.87
25,Detroit Lions,16,277,577,48.0,2994,19,3.3,25,4.3,64,5.5,4.2,11.4,187.1,57.9,20,174,5.0,3.8,3.4,2,2,-98.44
26,Miami Dolphins,16,271,455,59.6,2890,18,4.0,15,3.3,77,6.7,6.1,11.3,180.6,79.3,25,179,6.0,5.4,5.2,1,1,15.83
27,Baltimore Ravens,16,262,479,54.7,2847,20,4.2,14,2.9,77,6.5,6.0,11.9,177.9,76.5,41,271,5.5,5.0,7.9,1,1,-20.68
28,Jacksonville Jaguars,16,268,462,58.0,2762,18,3.9,9,1.9,79,6.5,6.4,11.3,172.6,82.5,42,257,5.5,5.4,8.3,0,1,17.30
29,Arizona Cardinals,16,291,548,53.1,2740,18,3.3,22,4.0,80,5.5,4.4,10.4,171.3,63.7,41,298,4.7,3.6,7.0,2,4,-71.48
30,Carolina Panthers,16,255,464,55.0,2694,15,3.2,22,4.7,69,6.4,4.9,11.7,168.4,65.7,44,287,5.3,3.9,8.7,0,1,-71.78
31,Dallas Cowboys,16,252,471,53.5,2621,14,3.0,16,3.4,80,6.4,5.5,12.0,163.8,69.1,54,399,5.0,4.2,10.3,3,3,-113.17
32,Houston Texans,16,235,447,52.6,2225,11,2.5,15,3.4,81,5.9,4.9,11.2,139.1,64.7,76,411,4.3,3.4,14.5,2,3,-110.37
