Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jacksonville Jaguars,16,353,557,63.4,4110,19,3.4,20,3.6,62,7.8,6.9,12.4,256.9,84.0,50,257,6.8,5.9,8.2,4,4
2,Baltimore Ravens,16,335,570,58.8,3978,34,6.0,20,3.5,86,7.5,7.1,12.8,248.6,87.6,38,296,6.5,6.2,6.3,2,3
3,New England Patriots,16,374,628,59.6,3901,27,4.3,15,2.4,84,6.5,6.3,10.9,243.8,83.2,30,190,5.9,5.7,4.6,3,4
4,Philadelphia Eagles,16,328,548,59.9,3745,19,3.5,18,3.3,62,7.3,6.5,12.1,234.1,80.1,39,234,6.4,5.6,6.6,2,3
5,Green Bay Packers,16,328,548,59.9,3697,39,7.1,13,2.4,80,7.2,7.5,12.0,231.1,95.7,40,241,6.3,6.6,6.8,1,1
6,Arizona Cardinals,16,336,613,54.8,3688,23,3.8,21,3.4,69,6.4,5.6,11.7,230.5,72.6,36,229,5.7,4.9,5.5,4,4
7,San Francisco 49ers,16,358,550,65.1,3659,24,4.4,16,2.9,52,7.0,6.6,10.8,228.7,88.0,42,200,6.2,5.8,7.1,3,3
8,Minnesota Vikings,16,331,561,59.0,3658,24,4.3,19,3.4,82,7.0,6.3,11.8,228.6,80.4,34,241,6.1,5.5,5.7,3,5
9,Atlanta Falcons,16,356,600,59.3,3655,26,4.3,30,5.0,67,6.5,5.1,11.0,228.4,72.3,42,254,5.7,4.4,6.5,,
10,New York Jets,16,339,629,53.9,3625,22,3.5,30,4.8,78,6.2,4.8,11.5,226.6,64.7,41,286,5.4,4.1,6.1,,
11,Miami Dolphins,16,300,504,59.5,3543,22,4.4,11,2.2,74,7.5,7.4,12.6,221.4,88.4,36,240,6.6,6.5,6.7,0,1
12,Cincinnati Bengals,16,316,563,56.1,3432,25,4.4,16,2.8,61,6.6,6.2,11.8,214.5,79.4,47,294,5.6,5.3,7.7,3,5
13,Denver Broncos,16,327,536,61.0,3429,26,4.9,17,3.2,51,6.8,6.4,11.2,214.3,84.3,31,233,6.0,5.6,5.5,4,4
14,San Diego Chargers,16,314,577,54.4,3358,23,4.0,21,3.6,63,6.3,5.5,11.6,209.9,71.9,33,296,5.5,4.7,5.4,0,1
15,Washington Redskins,16,270,471,57.3,3319,12,2.5,11,2.3,52,7.3,6.8,12.8,207.4,79.2,22,134,6.7,6.2,4.5,,
16,Indianapolis Colts,16,311,537,57.9,3296,16,3.0,11,2.0,51,6.6,6.3,11.4,206.0,79.2,43,248,5.7,5.4,7.4,3,3
17,Buffalo Bills,16,279,483,57.8,3218,18,3.7,24,5.0,95,7.4,5.9,12.8,201.1,72.6,48,340,6.1,4.7,9.0,4,5
18,Detroit Lions,16,309,541,57.1,3203,20,3.7,21,3.9,62,6.4,5.4,11.2,200.2,72.5,46,260,5.5,4.5,7.8,1,1
19,Chicago Bears,16,318,551,57.7,3185,19,3.4,18,3.3,58,6.1,5.3,10.5,199.1,73.4,23,165,5.5,4.8,4.0,1,1
20,Dallas Cowboys,16,307,487,63.0,3122,12,2.5,14,2.9,61,6.7,5.9,10.6,195.1,78.6,19,127,6.2,5.4,3.8,2,2
21,Houston Oilers,16,272,463,58.7,3098,22,4.8,15,3.2,83,7.1,6.6,12.1,193.6,83.0,34,198,6.2,5.8,6.8,2,2
22,Carolina Panthers,16,273,487,56.1,3083,22,4.5,11,2.3,55,6.8,6.7,12.2,192.7,83.0,36,250,5.9,5.8,6.9,2,2
23,Oakland Raiders,16,311,533,58.3,3078,28,5.3,19,3.6,62,6.2,5.7,10.7,192.4,79.4,45,249,5.3,4.8,7.8,,
24,Seattle Seahawks,16,261,494,52.8,3027,14,2.8,17,3.4,80,6.5,5.5,12.3,189.2,68.3,38,189,5.7,4.8,7.1,3,2
25,New Orleans Saints,16,295,515,57.3,2898,13,2.5,17,3.3,57,6.0,5.0,10.4,181.1,69.3,22,171,5.4,4.5,4.1,2,2
26,Kansas City Chiefs,16,290,530,54.7,2890,18,3.4,14,2.6,69,5.8,5.3,10.7,180.6,72.3,27,203,5.2,4.7,4.8,2,2
27,Pittsburgh Steelers,16,246,456,53.9,2841,15,3.3,19,4.2,70,6.6,5.3,12.2,177.6,68.0,21,149,6.0,4.8,4.4,0,4
28,St. Louis Rams,16,249,481,51.8,2765,18,3.7,23,4.8,77,6.5,5.1,12.6,172.8,65.0,57,379,5.1,3.9,10.6,2,2
29,Tampa Bay Buccaneers,16,274,494,55.5,2727,12,2.4,20,4.0,45,6.0,4.6,10.7,170.4,64.4,30,217,5.2,3.9,5.7,3,3
30,New York Giants,16,238,459,51.9,2339,14,3.1,21,4.6,37,5.8,4.4,11.2,146.2,60.6,56,324,4.5,3.3,10.9,,
,Avg Team,,306.6,532.2,57.6,3318.9,20.9,3.9,18.1,3.4,66,6.7,5.9,11.6,207.4,75.0,36.9,236.5,5.83,5.1,6.5,1.9,2.3
,League Total,,9198,15966,57.6,99567,626,3.9,542,3.4,95,6.7,5.9,11.6,207.4,75.0,1106,7094,5.83,5.1,6.5,56,69
,Avg Tm/G,,19.2,33.3,57.6,207.4,1.3,3.9,1.1,3.4,,6.7,5.9,11.6,207.4,75.0,2.3,14.8,5.83,5.1,6.5,,
