Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Francisco 49ers,16,431,6195,994,6.2,22,13,344,319,480,3880,29,9,7.6,192,482,2315,22,4.8,135,80,636,17,,
2,Dallas Cowboys,16,409,5606,1014,5.5,24,9,324,314,491,3485,23,15,6.8,183,500,2121,20,4.2,119,91,650,22,,
3,Buffalo Bills,16,381,5893,1087,5.4,38,17,350,293,509,3457,23,21,6.4,192,549,2436,18,4.4,133,103,775,25,,
4,Minnesota Vikings,16,374,4899,995,4.9,32,17,288,258,458,2869,18,15,5.8,157,497,2030,19,4.1,115,99,809,16,,
5,Philadelphia Eagles,16,354,4980,1009,4.9,28,15,292,255,429,2592,20,13,5.3,138,516,2388,19,4.6,138,101,807,16,,
6,Houston Oilers,16,352,5655,958,5.9,35,12,339,373,573,4029,27,23,6.7,217,353,1626,10,4.6,101,111,824,21,,
7,Kansas City Chiefs,16,348,4324,907,4.8,21,9,246,230,413,2792,15,12,6.1,134,446,1532,14,3.4,87,82,675,25,,
8,Miami Dolphins,16,340,5500,998,5.5,34,17,316,332,563,3975,24,17,6.7,194,407,1525,9,3.7,101,86,656,21,,
9,San Diego Chargers,16,335,5221,1018,5.1,33,12,302,282,496,3346,16,21,6.3,161,489,1875,18,3.8,118,91,813,23,,
10,New Orleans Saints,16,330,4806,895,5.4,29,13,267,251,426,3178,19,16,7.2,155,454,1628,10,3.6,92,60,567,20,,
11,Atlanta Falcons,16,327,4903,910,5.4,29,14,273,336,548,3633,33,15,6.2,194,322,1270,3,3.9,67,78,656,12,,
12,Los Angeles Rams,16,313,4877,914,5.3,37,17,278,289,495,3218,23,20,6.2,174,393,1659,12,4.2,83,79,592,21,,
13,New York Giants,16,306,4422,936,4.7,23,13,271,232,433,2345,14,10,4.9,119,458,2077,20,4.5,120,87,647,32,,
14,Washington Redskins,16,300,4890,991,4.9,24,7,276,272,485,3163,15,17,6.2,160,483,1727,10,3.6,104,84,741,12,,
15,Pittsburgh Steelers,16,299,4906,989,5.0,32,18,284,249,431,2750,15,14,5.8,143,518,2156,13,4.2,119,106,941,22,,
16,Chicago Bears,16,295,4941,951,5.2,34,10,282,266,479,3070,17,24,5.9,157,427,1871,15,4.4,101,93,776,24,,
17,Green Bay Packers,16,276,4785,990,4.8,36,21,291,340,527,3230,20,15,5.7,171,420,1555,7,3.7,101,88,749,19,,
18,Cincinnati Bengals,16,274,3919,934,4.2,27,10,248,227,435,1943,16,17,4.0,114,454,1976,11,4.4,112,98,755,22,,
19,Detroit Lions,16,273,4440,843,5.3,36,15,241,231,406,2796,16,21,6.0,133,378,1644,9,4.3,83,122,903,25,,
20,Cleveland Browns,16,272,4492,883,5.1,28,12,242,238,398,2885,18,16,6.7,141,451,1607,7,3.6,85,104,765,16,,
21,Tampa Bay Buccaneers,16,267,4771,994,4.8,29,9,281,299,511,3065,17,20,5.5,165,438,1706,12,3.9,100,91,754,16,,
22,Denver Broncos,16,262,4430,928,4.8,43,14,234,258,473,2930,16,29,5.6,135,403,1500,11,3.7,84,98,768,15,,
23,Los Angeles Raiders,16,249,4384,953,4.6,38,15,259,233,471,2590,20,23,5.0,139,434,1794,7,4.1,99,113,832,21,,
24,Phoenix Cardinals,16,243,4577,948,4.8,42,18,277,298,517,3086,15,24,5.6,161,395,1491,11,3.8,88,85,722,28,,
25,New York Jets,16,220,4431,958,4.6,39,15,252,251,495,2679,12,24,5.0,137,424,1752,8,4.1,94,107,873,21,,
26,Indianapolis Colts,16,216,4368,969,4.5,37,11,267,305,546,3266,13,26,5.5,174,379,1102,8,2.9,70,122,958,23,,
27,New England Patriots,16,205,3584,928,3.9,45,26,215,244,444,2034,13,19,4.0,130,419,1550,6,3.7,71,111,1051,14,,
28,Seattle Seahawks,16,140,3374,945,3.6,41,18,208,230,476,1778,9,23,3.3,114,402,1596,4,4.0,77,111,918,17,,
,Avg Team,,299.7,4770.5,958.5,5.0,32.7,14.2,276.7,275.2,478.9,3002.3,18.4,18.5,5.8,156.6,439.0,1768.2,11.9,4.0,99.9,,,20.2,,
,League Total,,8391,133573,26839,5.0,916,397,7747,7705,13408,84064,516,519,5.8,4384,12291,49509,333,4.0,2797,2681,21613,566,,
,Avg Tm/G,,18.7,298.2,59.9,5.0,2.0,0.9,17.3,17.2,29.9,187.6,1.2,1.2,5.8,9.8,27.4,110.5,0.7,4.0,6.2,,,1.3,,
