Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Tampa Bay Buccaneers,16,377,1320,13,3.5,82.5,53.31
2,Pittsburgh Steelers,16,391,1450,9,3.7,90.6,37.13
3,Denver Broncos,16,404,1458,5,3.6,91.1,45.60
4,San Francisco 49ers,16,407,1507,7,3.7,94.2,56.10
5,Washington Redskins,16,363,1532,11,4.2,95.8,10.15
6,San Diego Chargers,16,406,1542,10,3.8,96.4,56.26
7,Houston Texans,16,390,1560,5,4.0,97.5,45.18
8,Chicago Bears,16,388,1627,6,4.2,101.7,50.07
9,New England Patriots,16,415,1630,10,3.9,101.9,56.92
10,Seattle Seahawks,16,368,1649,8,4.5,103.1,-1.97
11,Minnesota Vikings,16,427,1692,10,4.0,105.8,48.68
12,Cincinnati Bengals,16,423,1715,13,4.1,107.2,18.86
13,Miami Dolphins,16,431,1734,10,4.0,108.4,28.28
14,Carolina Panthers,16,416,1761,11,4.2,110.1,12.37
15,St. Louis Rams,16,442,1880,18,4.3,117.5,9.58
16,Detroit Lions,16,420,1889,13,4.5,118.1,12.64
17,Green Bay Packers,16,418,1896,12,4.5,118.5,-26.12
18,Oakland Raiders,16,444,1897,18,4.3,118.6,7.90
19,Cleveland Browns,16,457,1898,14,4.2,118.6,33.52
20,Baltimore Ravens,16,492,1965,15,4.0,122.8,33.13
21,Atlanta Falcons,16,411,1971,16,4.8,123.2,-2.57
22,Dallas Cowboys,16,441,2003,17,4.5,125.2,12.02
23,Philadelphia Eagles,16,479,2021,11,4.2,126.3,25.80
24,Tennessee Titans,16,483,2035,16,4.2,127.2,2.24
25,New York Giants,16,449,2066,9,4.6,129.1,3.04
26,New York Jets,16,495,2138,17,4.3,133.6,32.12
27,Kansas City Chiefs,16,482,2171,11,4.5,135.7,16.17
28,Arizona Cardinals,16,506,2192,12,4.3,137.0,34.10
29,Indianapolis Colts,16,428,2200,14,5.1,137.5,-9.75
30,Jacksonville Jaguars,16,545,2256,19,4.1,141.0,-9.45
31,Buffalo Bills,16,470,2333,23,5.0,145.8,-54.21
32,New Orleans Saints,16,457,2361,18,5.2,147.6,-0.24
,Avg Team,,435.2,1854.7,12.5,4.3,115.9,19.9
,League Total,,13925,59349,401,4.3,115.9,
,Avg Tm/G,,27.2,115.9,0.8,4.3,115.9,
