Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,San Francisco 49ers,16,353,1236,3,3.5,77.3,72.08
2,Baltimore Ravens,16,419,1482,10,3.5,92.6,45.09
3,Miami Dolphins,16,412,1530,8,3.7,95.6,31.65
4,Houston Texans,16,378,1536,8,4.1,96.0,36.26
5,Chicago Bears,16,384,1542,10,4.0,96.4,57.07
6,Atlanta Falcons,16,372,1552,10,4.2,97.0,24.21
7,Dallas Cowboys,16,385,1585,10,4.1,99.1,32.47
8,Pittsburgh Steelers,16,399,1597,7,4.0,99.8,25.84
9,Jacksonville Jaguars,16,435,1667,14,3.8,104.2,69.01
10,Cincinnati Bengals,16,425,1675,14,3.9,104.7,28.67
11,Minnesota Vikings,16,439,1712,10,3.9,107.0,50.98
12,New Orleans Saints,16,351,1738,11,5.0,108.6,-13.90
13,New York Jets,16,451,1777,17,3.9,111.1,47.65
14,Green Bay Packers,16,383,1789,10,4.7,111.8,-6.29
15,Seattle Seahawks,16,473,1797,10,3.8,112.3,37.74
16,Philadelphia Eagles,16,414,1801,11,4.4,112.6,35.12
17,New England Patriots,16,405,1874,13,4.6,117.1,13.74
18,Washington Redskins,16,438,1884,15,4.3,117.8,18.43
19,New York Giants,16,435,1940,15,4.5,121.3,12.82
20,San Diego Chargers,16,448,1955,8,4.4,122.2,5.19
21,Arizona Cardinals,16,475,1986,15,4.2,124.1,11.67
22,Denver Broncos,16,488,2021,11,4.1,126.3,13.07
23,Detroit Lions,16,410,2050,10,5.0,128.1,-13.89
24,Tennessee Titans,16,461,2053,10,4.5,128.3,27.52
25,Carolina Panthers,16,451,2093,18,4.6,130.8,-14.76
26,Kansas City Chiefs,16,508,2112,14,4.2,132.0,37.53
27,Oakland Raiders,16,430,2178,15,5.1,136.1,-25.30
28,Buffalo Bills,16,467,2224,19,4.8,139.0,-15.35
29,Indianapolis Colts,16,540,2303,19,4.3,143.9,9.40
30,Cleveland Browns,16,534,2359,12,4.4,147.4,-0.77
31,St. Louis Rams,16,510,2433,17,4.8,152.1,-7.09
32,Tampa Bay Buccaneers,16,498,2497,26,5.0,156.1,-22.28
,Avg Team,,436.6,1874.3,12.5,4.3,117.1,19.5
,League Total,,13971,59978,400,4.3,117.1,
,Avg Tm/G,,27.3,117.1,0.8,4.3,117.1,
