Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Los Angeles Rams,16,12,32,,,1,5,,,1,,44,47,16,18,,394,24.6
2,Cleveland Browns,16,18,36,,,2,,,,2,,49,52,19,27,2,452,28.3
3,New York Jets,16,11,30,,1,3,1,1,,1,,44,45,27,31,,409,25.6
4,Chicago Bears,16,18,22,1,,1,1,,,1,,38,42,33,35,1,399,24.9
5,Houston Texans,16,13,20,1,1,1,,,,1,,35,35,25,29,,328,20.5
6,San Francisco 49ers,16,25,30,,,1,,,,1,,51,54,29,32,2,480,30.0
7,New York Giants,16,10,15,,,,1,,,,,24,25,34,40,1,284,17.8
8,Jacksonville Jaguars,16,17,20,1,,,3,,,1,,36,40,38,41,1,400,25.0
9,Cincinnati Bengals,16,12,22,,,,,,,,,28,32,27,31,1,315,19.7
10,Minnesota Vikings,16,9,22,,1,,,,,1,,29,29,28,32,,307,19.2
11,Denver Broncos,16,15,13,,1,,1,,,1,,24,27,29,33,2,297,18.6
12,Baltimore Ravens,16,10,28,1,,,,,,1,,33,36,16,22,2,321,20.1
13,Detroit Lions,16,8,33,,,,1,,,2,,36,39,22,26,,358,22.4
14,Seattle Seahawks,16,16,16,,,,,,,3,,29,29,19,27,1,292,18.3
15,Tampa Bay Buccaneers,16,15,24,,,1,1,,,2,,34,35,27,36,2,369,23.1
16,Miami Dolphins,16,12,30,,,,1,,,5,,34,38,26,35,,380,23.8
17,Philadelphia Eagles,16,10,25,1,,,,,,,,31,34,28,33,,331,20.7
18,Carolina Panthers,16,11,27,1,,,4,,,4,,35,37,33,42,1,402,25.1
19,Tennessee Titans,16,10,25,2,,3,3,,,1,,35,40,27,32,1,378,23.6
20,Kansas City Chiefs,16,10,23,,,,1,,,1,,30,30,25,30,,311,19.4
21,Washington Redskins,16,19,22,,1,1,2,,,,,41,43,24,30,,383,23.9
22,Buffalo Bills,16,21,19,,,,,1,,2,,36,38,30,32,1,378,23.6
23,Pittsburgh Steelers,16,15,20,,,,,1,,2,,29,32,26,31,,327,20.4
24,San Diego Chargers,16,20,21,1,,1,3,,,2,,42,42,33,38,1,423,26.4
25,Indianapolis Colts,16,12,27,,,2,1,,,1,,34,39,34,40,1,392,24.5
26,Oakland Raiders,16,18,27,1,,,,,,4,,35,39,22,26,,385,24.1
27,Arizona Cardinals,16,16,21,,1,2,1,,,1,,37,40,25,28,,362,22.6
28,Dallas Cowboys,16,9,25,,,,,,,,,27,28,25,32,,306,19.1
29,Green Bay Packers,16,11,32,,1,1,,,,,,37,40,27,29,,388,24.3
30,New England Patriots,16,6,21,,,,,,,1,,23,24,21,29,,250,15.6
31,New Orleans Saints,16,19,27,,,2,2,1,,3,,44,46,32,35,,454,28.4
32,Atlanta Falcons,16,15,31,,,,2,,,6,,35,38,23,27,,406,25.4
,Avg Team,,13.8,24.6,0.3,0.2,0.7,1.1,0.1,,1.6,3.3,35.0,37.3,26.6,31.5,0.6,364.0,22.8
,League Total,,443,786,10,7,22,34,4,1306,51,105,1119,1195,850,1009,20,11647,
,Avg Tm/G,,0.87,1.54,0.02,0.01,0.04,0.07,0.01,2.55,0.10,0.21,2.19,2.33,1.66,1.97,0.04,22.7,
