Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,St. Louis Rams,16,17,21,2,,4,,1,,,,44,44,31,37,,407,25.4
2,Kansas City Chiefs,16,14,23,1,,,,,,1,,37,37,23,28,1,338,21.1
3,Cleveland Browns,16,12,16,1,1,,1,,,,,31,31,30,34,,307,19.2
4,Jacksonville Jaguars,16,14,21,,,2,,,,1,,35,36,22,29,2,329,20.6
5,Indianapolis Colts,16,19,25,1,,2,1,1,,,,49,49,29,34,,430,26.9
6,Tampa Bay Buccaneers,16,26,30,,1,2,2,,,,,59,60,23,29,,494,30.9
7,Washington Redskins,16,15,22,,,1,,,,,,37,38,34,41,,367,22.9
8,Denver Broncos,16,11,24,1,,2,4,,,,,40,40,32,39,1,390,24.4
9,Arizona Cardinals,16,15,17,1,,,1,,,,,33,33,35,48,3,348,21.8
10,Seattle Seahawks,16,10,18,2,1,1,1,,,1,,31,32,28,37,,315,19.7
11,Pittsburgh Steelers,16,7,15,,,1,,,,1,,21,21,22,27,,227,14.2
12,Tennessee Titans,16,10,21,,,,3,,,,,32,32,27,28,,317,19.8
13,Miami Dolphins,16,8,24,,,,1,,,1,,31,31,26,33,2,313,19.6
14,Minnesota Vikings,16,10,34,1,1,1,3,,,1,,49,49,32,35,1,449,28.1
15,Cincinnati Bengals,16,14,21,1,,,1,,,,,35,35,22,27,,323,20.2
16,Chicago Bears,16,10,22,,,1,3,,,,,33,33,30,36,1,341,21.3
17,Oakland Raiders,16,15,31,2,1,1,3,,,,,52,53,21,29,,433,27.1
18,Dallas Cowboys,16,10,24,,,1,2,1,,2,,35,35,26,33,1,347,21.7
19,Buffalo Bills,16,19,30,,,,3,1,,1,,51,52,21,25,,434,27.1
20,New York Jets,16,17,15,,,4,3,,,1,,38,38,29,30,1,363,22.7
21,Baltimore Ravens,16,10,11,2,1,,1,,,,,26,26,28,31,,266,16.6
22,San Francisco 49ers,16,3,20,,,,,,,1,,21,21,22,27,1,229,14.3
23,Houston Texans,16,8,18,,,1,,,,2,,22,22,30,36,,278,17.4
24,New York Giants,16,15,28,,,,3,,,1,,45,45,25,31,1,400,25.0
25,Philadelphia Eagles,16,11,27,,,,2,,,1,,38,38,16,24,,328,20.5
26,Atlanta Falcons,16,10,25,,,1,2,1,,1,,37,37,23,28,1,350,21.9
27,San Diego Chargers,16,8,29,,1,,4,,,2,,40,40,25,28,,377,23.6
28,Carolina Panthers,16,18,28,3,,,1,,,,,48,48,27,31,,429,26.8
29,Detroit Lions,16,10,26,1,1,1,3,,,1,,41,41,30,34,1,387,24.2
30,New England Patriots,16,13,26,,,,1,,,,,38,38,20,23,2,342,21.4
31,New Orleans Saints,16,11,24,,1,,1,,,,,36,37,27,32,,339,21.2
32,Green Bay Packers,16,10,29,1,,,,,,5,,35,35,22,27,2,359,22.4
,Avg Team,,12.5,23.3,0.6,0.3,1.0,1.5,0.2,,0.8,1.6,37.5,37.7,26.2,31.6,0.7,354.9,22.2
,League Total,,400,745,20,9,31,49,5,1259,24,50,1200,1207,838,1011,21,11358,
,Avg Tm/G,,0.78,1.46,0.04,0.02,0.06,0.10,0.01,2.46,0.05,0.10,2.34,2.36,1.64,1.97,0.04,22.2,
