Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,20,21,,,,2,,,3,,35,39,28,37,2,387,24.2
2,Dallas Cowboys,16,16,19,,1,1,4,,,1,,36,38,30,36,,374,23.4
3,Cleveland Browns,16,11,34,1,,1,1,1,,2,,44,45,30,35,,432,27.0
4,St. Louis Rams,16,7,21,1,,1,2,,,2,,29,29,35,37,,330,20.6
5,Tennessee Titans,16,11,34,1,,2,3,,,,,48,50,23,27,,423,26.4
6,Miami Dolphins,16,13,31,,,,2,,,,,42,45,21,29,4,389,24.3
7,San Diego Chargers,16,17,22,,,,5,,,3,,39,41,29,34,1,398,24.9
8,Baltimore Ravens,16,10,30,,,1,4,,,2,,37,40,30,36,,401,25.1
9,Indianapolis Colts,16,14,29,3,,1,,,,1,,40,44,28,35,,408,25.5
10,Chicago Bears,16,9,31,1,2,1,3,,,,,43,46,24,28,,397,24.8
11,Houston Texans,16,10,24,,,2,1,,,,,31,35,20,26,,313,19.6
12,Atlanta Falcons,16,20,19,,,,1,1,,,,39,39,20,26,,345,21.6
13,Tampa Bay Buccaneers,16,12,31,,,1,2,,,,,42,45,31,34,,417,26.1
14,Denver Broncos,16,10,19,,,,3,,,,,27,28,25,32,1,296,18.5
15,Detroit Lions,16,18,27,,,1,1,,,1,,41,44,25,29,,400,25.0
16,Oakland Raiders,16,12,25,,1,,3,,,5,,31,35,36,42,2,399,24.9
17,Minnesota Vikings,16,7,24,,,,,,,1,,28,28,28,31,1,302,18.9
18,Green Bay Packers,16,13,20,,,3,,,,1,,31,34,24,28,1,323,20.2
19,Jacksonville Jaguars,16,15,29,,,3,4,,,2,,48,48,30,38,,448,28.0
20,Philadelphia Eagles,16,10,36,,,1,2,1,,1,,47,49,27,27,,430,26.9
21,Buffalo Bills,16,10,30,,,1,1,,,4,,33,37,22,27,,359,22.4
22,New York Jets,16,4,25,2,,2,,1,,1,,30,33,26,29,,314,19.6
23,Washington Redskins,16,10,30,1,,1,1,,,1,,40,41,23,28,2,379,23.7
24,Kansas City Chiefs,16,7,25,,,1,1,,,2,,25,28,18,22,,287,17.9
25,New Orleans Saints,16,12,45,,,,2,,,2,,52,54,22,27,,476,29.8
26,Cincinnati Bengals,16,8,18,,,2,1,,,,,27,27,26,31,,279,17.4
27,New York Giants,16,15,31,,1,1,2,,,1,,47,48,31,35,,442,27.6
28,Pittsburgh Steelers,16,6,29,,,,,,,1,,29,32,26,31,,319,19.9
29,Seattle Seahawks,16,10,14,1,1,2,,,,2,,22,25,27,28,1,277,17.3
30,New England Patriots,16,8,24,1,,,2,1,,1,,28,31,23,29,,315,19.7
31,Arizona Cardinals,16,9,24,,,1,,,,2,,27,29,26,27,,313,19.6
32,Carolina Panthers,16,11,21,1,1,1,,,,3,,28,30,20,26,1,308,19.3
,Avg Team,,11.4,26.3,0.4,0.2,1.0,1.7,0.2,,1.4,2.9,35.8,38.0,26.1,30.8,0.5,364.9,22.8
,League Total,,365,842,13,7,33,53,5,1318,45,94,1146,1217,834,987,16,11678,
,Avg Tm/G,,0.71,1.64,0.03,0.01,0.06,0.10,0.01,2.57,0.09,0.18,2.24,2.38,1.63,1.93,0.03,22.8,
